filename,label,text,cleaned_text
audio_1261.wav,1.0, ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ,
audio_942.wav,1.5, The playground looks like very clear and neat as there are lot of colorful things like a basketball court for playing,The playground looks like very clear and neat as there are lot of colorful things like a basketball court for playing
audio_1110.wav,1.5, my goal is to become an electrical employee and also I am studying the Electrical Electronics Engineering to become an electrical engineer I have to study about electrical and to achieve my goal is to have a,my goal is to become an electrical employee and also I am studying the Electrical Electronics Engineering to become an electrical engineer I have to study about electrical and to achieve my goal is to have a
audio_1024.wav,1.5, My favorite place is in Andhra Pradesh. It is in Chithu district. It is the temple of Lord Venateswara Swami. It has seven hills to visit the temple. It is a good place to,My favorite place is in Andhra Pradesh. It is in Chithu district. It is the temple of Lord Venateswara Swami. It has seven hills to visit the temple. It is a good place to
audio_538.wav,2.0, My favorite place is Ooty and Kodai Kanal. My experience while travelling through Ooty and Kodai Kanal is very good. I travelled through Ooty and Kodai Kanal through others with my family and friends. I enjoyed a lot in the Ooty and Kodai Kanal. The local food in the Ooty and Kodai Kanal are chocolates which were very sweet.,My favorite place is Ooty and Kodai Kanal. My experience while travelling through Ooty and Kodai Kanal is very good. I travelled through Ooty and Kodai Kanal through others with my family and friends. I enjoyed a lot in the Ooty and Kodai Kanal. The local food in the Ooty and Kodai Kanal are chocolates which were very sweet.
audio_350.wav,2.5," Best day in life is earning money. For everyone, it's money is most important. So earning ourselves is a thing when we start earning. So actually to earn money, you have to know some skills. Even if we need money or to earn money, we must complete our graduation or studies or need some skills. But if we earn money while we are education, like even in school times,","Best day in life is earning money. For everyone, it's money is most important. So earning ourselves is a thing when we start earning. So actually to earn money, you have to know some skills. Even if we need money or to earn money, we must complete our graduation or studies or need some skills. But if we earn money while we are education, like even in school times,"
audio_64.wav,2.0," Yeah, I have a soy crowded market. There are different types of the people are there. It's a very crowded with a large number of people on one side. Some people are selling vegetables. Some people are selling fruits and some are selling other essential products that are required for the humans. And when I hear about the market, it's a fascinating","Yeah, I have a soy crowded market. There are different types of the people are there. It's a very crowded with a large number of people on one side. Some people are selling vegetables. Some people are selling fruits and some are selling other essential products that are required for the humans. And when I hear about the market, it's a fascinating"
audio_252.wav,2.0, ḍᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃᵃ,
audio_1304.wav,2.0," There. Easy. Alright, so you have this join into that, I mean, saying that you're for initial interview. And then there, they'll be able to cross the stage. Yes, you can use the swing and the slides where you can do activities such as","There. Easy. Alright, so you have this join into that, I mean, saying that you're for initial interview. And then there, they'll be able to cross the stage. Yes, you can use the swing and the slides where you can do activities such as"
audio_1230.wav,2.5, វ្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្,
audio_133.wav,2.0," So the topic is the scene of the crowded market. So after the COVID, after the COVID the market is very crowded. So the people are buying and selling new technologies and new features of phones, laptop and electronic devices so that they can easily work them. And most likely we can hear in the market is like the","So the topic is the scene of the crowded market. So after the COVID, after the COVID the market is very crowded. So the people are buying and selling new technologies and new features of phones, laptop and electronic devices so that they can easily work them. And most likely we can hear in the market is like the"
audio_790.wav,2.5, While pedaling the wind bump on my skin,While pedaling the wind bump on my skin
audio_947.wav,2.0," Usually a playground looks very huge in a circular or a bandage carved around. Students like to play koko, cricket, danes, and winden.","Usually a playground looks very huge in a circular or a bandage carved around. Students like to play koko, cricket, danes, and winden."
audio_288.wav,2.5, ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ ḍᵃ,
audio_1111.wav,2.0, My goals is getting a job in a particular company and a mega valuable person in the society I will become a valuable and valuable person in the society I face many challenges in my way like I face the challenges in our studies,My goals is getting a job in a particular company and a mega valuable person in the society I will become a valuable and valuable person in the society I face many challenges in my way like I face the challenges in our studies
audio_771.wav,2.5, My favorite hobby is doing exercises.,My favorite hobby is doing exercises.
